lambda,test_accuracy,sparsity
1e-05,29.59,0.0002929980498049805
0.0001,29.220000000000002,0.0008789941494149415
0.0005,29.459999999999997,0.0026955820582058206
0.001,31.269999999999996,0.004277771527152715
0.005,31.69,0.014942900540054007
0.01,30.64,0.020099666216621664
0.05,27.49,0.04019933243324333
